No;NombreProyecto;NombreEstacionPeaje;Departamento;Municipio;TAR_PLENA_I;TAR_PLENA_II;TAR_PLENA_III;TAR_PLENA_IV;TAR_PLENA_V;TAR_PLENA_VI;TAR_PLENA_VII;TAR_PLENA_E.A.;TAR_PLENA_E.G.;TAR_PLENA_E.R.;TAR_PLENA_E.C.;TAR_ESPECIAL_I;TAR_ESPECIAL_II;TAR_ESPECIAL_III;TAR_ESPECIAL_IV;TAR_ESPECIAL_V;TAR_ESPECIAL_VI;TAR_ESPECIAL_VII;TAR_ESPECIAL_VIII;TAR_ESPECIAL_IX;TAR_ESPECIAL_IE-10;TAR_ESPECIAL_IEE;TAR_ESPECIAL_IEEE;TAR_ESPECIAL_IIA;TAR_ESPECIAL_E.A.;TAR_ESPECIAL_E.G.;TAR_ESPECIAL_E.R.;TAR_ESPECIAL_E.C.;FechaUltimoCambiodeTarifa
1;ARMENIA-PEREIRA-MANIZALES;CIRCASIA;QUINDÍO;FILANDIA;$ 13,80;$ 17,60;$ 17,60;$ 17,60;$ 42,90;$ 52,60;$ 58,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
2;ARMENIA-PEREIRA-MANIZALES;COROZAL;VALLE DEL CAUCA;SEVILLA;$ 10,40;$ 12,60;$ 12,60;$ 12,60;$ 30,70;$ 38,40;$ 44,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
3;ARMENIA-PEREIRA-MANIZALES;PAVAS;CALDAS;MANIZALES;$ 10,40;$ 12,60;$ 12,60;$ 12,60;$ 30,70;$ 38,40;$ 44,60;$    -;$    -;$    -;$    -;$    -;$ 3,30;$ 3,70;$ 3,90;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
4;ARMENIA-PEREIRA-MANIZALES;SAN BERNARDO;CALDAS;MANIZALES;$ 10,40;$ 12,60;$ 12,60;$ 12,60;$ 30,70;$ 38,40;$ 44,60;$    -;$    -;$    -;$    -;$    -;$ 3,30;$ 3,70;$ 3,90;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
5;ARMENIA-PEREIRA-MANIZALES;SANTÁGUEDA;CALDAS;MANIZALES;$ 10,40;$ 12,60;$ 12,60;$ 12,60;$ 30,70;$ 38,40;$ 44,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
6;ARMENIA-PEREIRA-MANIZALES;TARAPACÁ I;CALDAS;CHINCHINÁ;$ 11,50;$ 15,20;$ 15,20;$ 15,20;$ 38,10;$ 50,40;$ 56,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
7;ARMENIA-PEREIRA-MANIZALES;TARAPACÁ II;RISARALDA;SANTA ROSA DE CABAL;$ 11,50;$ 15,20;$ 15,20;$ 15,20;$ 38,10;$ 50,40;$ 56,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
8;BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA;CAIQUERO;CUNDINAMARCA;NOCAIMA;$ 9,30;$ 12,10;$ 30,00;$ 36,10;$ 41,50;$    -;$    -;$ 9,30;$ 6,50;$ 8,90;$    -;$ 2,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
9;BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA;SIBERIA;CUNDINAMARCA;TENJO;$ 10,00;$ 14,30;$ 12,00;$ 16,00;$ 28,10;$ 37,70;$ 41,40;$    -;$    -;$    -;$    -;$ 5,70;$ 8,20;$ 6,70;$ 9,20;$    -;$    -;$    -;$ 5,20;$ 7,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
10;BOGOTÁ - VILLAVICENCIO;BOQUERÓN I;CUNDINAMARCA;CHIPAQUE;$ 11,90;$ 35,30;$ 17,80;$ 47,10;$ 52,90;$ 58,80;$ 70,50;$    -;$    -;$    -;$    -;$ 400;$ 11,50;$ 400;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 1,60;$ 6,10;$    -;$    -;$    -;$    -;$    -;2018-11-16T00:00:00.000
11;BOGOTÁ - VILLAVICENCIO;BOQUERÓN II;CUNDINAMARCA;CHIPAQUE;$ 11,90;$ 35,30;$ 17,80;$ 47,10;$ 52,90;$ 58,80;$ 70,50;$    -;$    -;$    -;$    -;$ 400;$ 11,50;$ 400;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 1,60;$ 6,10;$    -;$    -;$    -;$    -;$    -;2018-11-16T00:00:00.000
12;BOGOTÁ - VILLAVICENCIO;NARANJAL;CUNDINAMARCA;QUETAME;$ 10,20;$ 26,60;$ 20,10;$ 39,40;$ 45,90;$ 52,90;$ 58,80;$    -;$    -;$    -;$    -;$ 500;$ 500;$ 500;$ 500;$ 500;$    -;$    -;$    -;$    -;$    -;$ 500;$ 500;$    -;$    -;$    -;$    -;$    -;2018-11-16T00:00:00.000
